iter	Passed	Remaining
464	752	865
465	753	863
466	755	861
467	756	859
468	757	857
469	758	855
470	759	853
471	760	851
472	762	849
473	763	847
474	764	845
475	766	843
476	767	841
477	768	839
478	769	837
479	771	835
480	772	833
481	773	831
482	775	829
483	776	827
484	777	825
485	778	823
486	779	821
487	781	819
488	782	817
489	783	815
490	784	813
491	785	811
492	786	809
493	788	807
494	789	805
495	790	803
496	791	801
497	793	799
498	794	797
499	795	795
500	796	793
501	798	791
502	799	789
503	800	788
504	801	786
505	803	784
506	804	782
507	805	780
508	807	778
509	808	776
510	809	774
511	810	772
512	812	771
513	813	769
514	814	767
515	815	765
516	817	763
517	818	761
518	819	759
519	820	757
520	822	755
521	823	754
522	824	752
523	826	750
524	827	748
525	828	746
526	829	744
527	830	742
528	832	740
529	833	738
530	834	736
531	835	735
532	837	733
533	838	731
534	839	729
535	840	727
536	842	726
537	843	724
538	844	722
539	845	720
540	846	718
541	848	716
542	849	714
543	850	713
544	852	711
545	853	709
546	854	707
547	855	705
548	856	703
549	858	702
550	859	700
551	860	698
552	862	696
553	863	695
554	864	693
555	866	691
556	867	689
557	868	688
558	869	686
559	871	684
560	872	682
561	873	680
562	874	678
563	875	677
564	877	675
565	878	673
566	879	671
567	880	669
568	882	668
569	883	666
570	884	664
571	885	662
572	887	661
573	888	659
574	889	657
575	891	655
576	892	654
577	893	652
578	894	650
579	896	648
580	897	647
581	898	645
582	899	643
583	900	641
584	902	639
585	903	638
586	905	636
587	906	635
588	907	633
589	908	631
590	910	629
591	911	628
592	912	626
593	913	624
594	914	622
595	916	621
596	917	619
597	919	617
598	920	616
599	921	614
600	923	612
601	924	611
602	925	609
603	926	607
604	927	605
605	929	604
606	930	602
607	931	600
608	932	598
609	934	597
610	935	595
611	936	593
612	937	592
613	939	590
614	940	588
615	941	586
616	942	585
617	943	583
618	945	581
619	946	580
620	947	578
621	949	576
622	950	575
623	951	573
624	952	571
625	953	569
626	954	568
627	956	566
628	957	564
629	958	563
630	960	561
631	961	560
632	962	558
633	964	556
634	965	555
635	967	553
636	968	551
637	969	550
638	970	548
639	972	547
640	973	545
641	975	543
642	976	542
643	977	540
644	978	538
645	980	537
646	981	535
647	982	533
648	983	532
649	985	530
650	986	528
651	987	527
652	988	525
653	990	523
654	991	522
655	992	520
656	994	518
657	995	517
658	996	515
659	997	513
660	998	512
661	1000	510
662	1001	508
663	1002	507
664	1004	505
665	1005	504
666	1007	502
667	1008	501
668	1009	499
669	1011	498
670	1012	496
671	1014	494
672	1015	493
673	1017	492
674	1019	490
675	1020	489
676	1021	487
677	1023	486
678	1024	484
679	1026	482
680	1027	481
681	1029	480
682	1031	478
683	1032	477
684	1034	475
685	1035	473
686	1036	472
687	1038	470
688	1039	469
689	1041	467
690	1042	466
691	1043	464
692	1045	463
693	1046	461
694	1047	459
695	1048	458
696	1050	456
697	1051	455
698	1053	453
699	1054	451
700	1055	450
701	1057	448
702	1058	447
703	1060	445
704	1061	444
705	1062	442
706	1063	440
707	1064	439
708	1066	437
709	1067	436
710	1068	434
711	1070	432
712	1071	431
713	1073	429
714	1074	428
715	1075	426
716	1077	425
717	1078	423
718	1079	421
719	1080	420
720	1082	418
721	1083	417
722	1084	415
723	1086	414
724	1087	412
725	1089	411
726	1090	409
727	1092	408
728	1093	406
729	1095	405
730	1096	403
731	1097	401
732	1099	400
733	1100	398
734	1101	397
735	1102	395
736	1104	394
737	1105	392
738	1106	390
739	1107	389
740	1108	387
741	1110	386
742	1111	384
743	1112	382
744	1113	381
745	1115	379
746	1116	378
747	1117	376
748	1119	375
749	1120	373
750	1121	371
751	1122	370
752	1123	368
753	1125	367
754	1126	365
755	1127	363
756	1129	362
757	1130	360
